in.comstock_building_type,in.census_division_name,in.state,utility,sample_n,calc.weighted.electricity.cooling.energy_consumption..tbtu,calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,calc.weighted.electricity.fans.energy_consumption..tbtu,calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,calc.weighted.electricity.heating.energy_consumption..tbtu,calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,calc.weighted.electricity.net.energy_consumption..tbtu,calc.weighted.electricity.pumps.energy_consumption..tbtu,calc.weighted.electricity.purchased.energy_consumption..tbtu,calc.weighted.electricity.pv.energy_consumption..tbtu,calc.weighted.electricity.refrigeration.energy_consumption..tbtu,calc.weighted.electricity.total.energy_consumption..tbtu,calc.weighted.electricity.water_systems.energy_consumption..tbtu,weight,in.sqft..ft2,calc.weighted.sqft..ft2,percent.calc.weighted.electricity.cooling.energy_consumption..tbtu,percent.calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.fans.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,percent.calc.weighted.electricity.heating.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.net.energy_consumption..tbtu,percent.calc.weighted.electricity.pumps.energy_consumption..tbtu,percent.calc.weighted.electricity.purchased.energy_consumption..tbtu,percent.calc.weighted.electricity.pv.energy_consumption..tbtu,percent.calc.weighted.electricity.refrigeration.energy_consumption..tbtu,percent.calc.weighted.electricity.total.energy_consumption..tbtu,percent.calc.weighted.electricity.water_systems.energy_consumption..tbtu
FullServiceRestaurant,South Atlantic,VA,APCo,1059,0.0819002300825184,0.00923981263933882,0.08695619261949701,0.0006806422172477015,0.0,0.06529507141339018,0.10657177718827526,0.02230971153724421,0.4823920995650662,0.0005281169723456443,0.4823920995650662,0.0,0.02645656730473776,0.4823920995650662,0.08245252790124583,771.9892605849635,6645000.0,3080801.1990591935,0.16977937689352954,0.019154154157312298,0.18026039957515547,0.0014109729779185466,0.0,0.13535684243639448,0.22092355427122953,0.046248086478528704,1.0,0.0010947877728963733,1.0,0.0,0.05484452860772699,1.0,0.17092429162000494
Grocery,South Atlantic,VA,APCo,322,0.03299361345565591,0.003767641529962104,0.03880462184538059,0.0003254432865980179,0.0,0.029214982786403384,0.08053796920587111,0.028791393316774976,0.33938527773987,0.0,0.33938527773987,0.0,0.12448331690445281,0.33938527773987,0.00046622358507448174,88.44193137818883,12654000.0,2956183.177667715,0.09721580639966551,0.011101369968233871,0.1143379645216176,0.0009589198705533177,0.0,0.08608205689109447,0.2373054298118417,0.08483394892233019,1.0,0.0,1.0,0.0,0.366790562435257,1.0,0.001373729550613654
LargeHotel,South Atlantic,VA,APCo,426,0.08801049157591043,0.008450699909513571,0.03510248876764088,0.0022151562638786345,0.0017322726466344335,0.029148946276883116,0.1024546080246992,0.044743234289260365,0.34050910209405616,0.013319149563663204,0.34050910209405616,0.0,0.008470407348680044,0.34050910209405616,0.006861623461852931,280.8026364175039,31153000.0,11309128.536063556,0.2584673685216202,0.024817838517512816,0.10308825388739476,0.006505424525382464,0.005087302030933497,0.08560401498116643,0.3008865472159947,0.13140099343629671,1.0,0.03911539950548564,1.0,0.0,0.02487571491213862,1.0,0.020151072084873663
LargeOffice,South Atlantic,VA,APCo,133,0.03146212685609759,0.0030457265954118317,0.02120174756038389,1.0708826185924651e-05,0.001462055565862789,0.01564801272901682,0.04936589038418018,0.023046947388158493,0.15533709522430508,0.0066391906269167664,0.15533709522430508,0.0,0.0,0.15533709522430508,0.003454737965749714,39.297584332220254,29908000.0,5078537.498605351,0.2025409758735775,0.01960720709379711,0.13648863157746574,6.893927152726283e-05,0.009412146942438936,0.10073583973243003,0.3177984647704167,0.148367312745735,1.0,0.042740535461473945,1.0,0.0,0.0,1.0,0.02224026373585208
MediumOffice,South Atlantic,VA,APCo,979,0.0883667022465431,0.013566263177308174,0.08123046619494716,0.00021357547174114246,0.0008912697672925144,0.04953455191292295,0.10957453781733349,0.0464415558222642,0.40282153329165593,0.004296328476659118,0.40282153329165593,0.0,0.0,0.40282153329165593,0.008706168871480058,421.4147323332493,48505500.0,13740227.131912736,0.219369360730184,0.03367809825470715,0.2016537336799561,0.000530198745821532,0.0022125673372262503,0.12296897712530754,0.27201757791333847,0.11529064854792406,1.0,0.010665587913217232,1.0,0.0,0.0,1.0,0.021612967907493934
Outpatient,South Atlantic,VA,APCo,193,0.06475944143140518,0.008517826289440339,0.04947876182154376,2.2043101020280295e-05,0.0,0.0385473930050389,0.08269264833025666,0.028172892084803922,0.2831486971515856,0.0011480727270371937,0.2831486971515856,0.0,0.0,0.2831486971515856,0.009810267473264505,382.0315529350274,6185500.0,8347935.559781838,0.2287117761193009,0.030082519803650246,0.1747447977662951,7.78499115200921e-05,0.0,0.13613833788683227,0.2920467201937595,0.09949857572440594,1.0,0.004054663639940978,1.0,0.0,0.0,1.0,0.034647051432528796
PrimarySchool,South Atlantic,VA,APCo,692,0.2342543761550449,0.031188112521718027,0.15638234579487847,0.005465777496254453,0.001475661314867046,0.23031329551800991,0.07206683757673189,0.09400047613327331,0.9096791725050662,0.020890193209674064,0.9096791725050662,0.0,0.027917107621260106,0.9096791725050662,0.03572399616719385,999.4121509577856,26435500.0,27666460.612856776,0.2575131796300858,0.034284738470852845,0.1719093396018227,0.006008467228289777,0.0016221777517488756,0.25318079437146535,0.07922225742321316,0.10333365759536481,1.0,0.022964352533373762,1.0,0.0,0.03068895987184386,1.0,0.03927098393251924
QuickServiceRestaurant,South Atlantic,VA,APCo,697,0.03368788512945949,0.006116130724580044,0.04180599029696124,0.0,0.0,0.028785186142987248,0.05449500027533674,0.01243381400385818,0.20305872053312643,0.0,0.20305872053312643,0.0,0.017849797514926838,0.20305872053312643,0.007884166299790581,428.24840548096734,2695000.0,1308410.588890797,0.16590218357041084,0.030120010155300254,0.20588128491699587,0.0,0.0,0.14175794108921963,0.2683706473293107,0.06123260292004924,1.0,0.0,1.0,0.0,0.08790460940590272,1.0,0.03882702638473672
RetailStandalone,South Atlantic,VA,APCo,2322,0.18813125210595666,0.035098460782534625,0.17302270848678225,0.0,0.0,0.08592649126758654,0.08636220500847905,0.16041417042873102,0.7289553229610772,0.0,0.7289553229610772,0.0,0.0,0.7289553229610772,0.0,1922.6633480757168,54320500.0,23529695.605654377,0.2580833779246605,0.04814898756752575,0.23735708216513132,0.0,0.0,0.1178762107375058,0.11847393425658596,0.22006035949791175,1.0,0.0,1.0,0.0,0.0,1.0,0.0
RetailStripmall,South Atlantic,VA,APCo,2052,0.3125065849024439,0.08083784363417491,0.2898336097429124,0.004800893291426842,0.0,0.2422645211103794,0.1958350896114028,0.23583880594537918,1.6140944020214736,0.0,1.6140944020214736,0.0,0.06513195716822369,1.6140944020214736,0.18704265929908406,2306.2204656226286,68636500.0,24363040.596714854,0.19361109518195724,0.05008247567982053,0.17956422460788418,0.0029743571908893668,0.0,0.15009315490281738,0.1213281511701801,0.14611215158792282,1.0,0.0,1.0,0.0,0.040352012302783014,1.0,0.1158808673549911
SecondarySchool,South Atlantic,VA,APCo,589,0.20403348039108143,0.025581735902836272,0.12261332099613312,0.0040696652049490144,0.001149507739659902,0.10175178071233942,0.064017294648711,0.07148225642586652,0.6472511426130894,0.015307211995741737,0.6472511426130894,0.0,0.02173916210911386,0.6472511426130894,0.01550484875051133,916.1990394180841,37815000.0,23916912.968874853,0.31523077667712607,0.03952366279271043,0.18943700972255884,0.006287613782370345,0.0017759841025835766,0.157206027171379,0.09890642199604266,0.11043975316486515,1.0,0.023649571221988568,1.0,0.0,0.033586904182738526,1.0,0.023954919087380806
SmallHotel,South Atlantic,VA,APCo,353,0.02164397177452826,0.006355780697020999,0.008379823499191558,0.0,0.0,0.004944617390911568,0.03450491249197241,0.01667125001636263,0.10080874778171213,3.8994671008270784e-05,0.10080874778171213,0.0,0.0,0.10080874778171213,0.008269174563763604,201.37595504315706,14367500.0,2177930.833053436,0.21470330949249947,0.063047908409532,0.0831259556694122,0.0,0.0,0.04904948726888738,0.3422809354470724,0.16537503325070552,1.0,0.0003868183254563238,1.0,0.0,0.0,1.0,0.08202834323137707
SmallOffice,South Atlantic,VA,APCo,2971,0.12520390081933497,0.03621944400393082,0.17128943492500737,0.0,0.0,0.09735823364578591,0.16456982178061796,0.09883117416451642,0.7094424800380734,3.885699280177534e-05,0.7094424800380734,0.0,0.0,0.7094424800380734,0.015931556874316754,4779.704292029673,27290500.0,21038770.57227188,0.17648210297840594,0.05105339054687991,0.24144231526115384,0.0,0.0,0.13723203273725731,0.23197063385855615,0.1393082271577711,1.0,5.477116735339843e-05,1.0,0.0,0.0,1.0,0.022456446184984245
Warehouse,South Atlantic,VA,APCo,2042,0.10970071241697546,0.07791623568484876,0.13340047933327087,2.465794171798722e-06,0.0,0.07996404480987196,0.36762874314467514,0.19408294505762164,0.9627686365759774,7.203617848407444e-05,0.9627686365759774,0.0,0.0,0.9627686365759774,0.0,4356.535495712697,150297000.0,58456007.97394635,0.11394296433161631,0.08092934556110247,0.13855922831855097,2.56114925032057e-06,0.0,0.0830563458052173,0.38184536676653935,0.20158835434010886,1.0,7.482189982867153e-05,1.0,0.0,0.0,1.0,0.0
